kicker_player_id,kicker_player_name,season,posteam,made,att,xp_pct,league_xp_pct,below_avg,season_label
00-0000108,D.Akers,1999,PHI,6,6,1.0,0.9886685552407932,False,1999
00-0000108,D.Akers,2000,PHI,34,36,0.9444444444444444,0.9905033238366572,True,2000---
00-0000108,D.Akers,2001,PHI,37,38,0.9736842105263158,0.9814995131450828,True,2001---
00-0000108,D.Akers,2002,PHI,43,43,1.0,0.9811965811965812,False,2002
00-0000108,D.Akers,2003,PHI,42,42,1.0,0.9823008849557522,False,2003
00-0000108,D.Akers,2004,PHI,41,42,0.9761904761904762,0.9899244332493703,True,2004---
00-0000108,D.Akers,2005,PHI,23,23,1.0,0.9847670250896058,False,2005
00-0000108,D.Akers,2006,PHI,48,48,1.0,0.9876977152899824,False,2006
00-0000108,D.Akers,2007,PHI,36,36,1.0,0.9856175972927242,False,2007
00-0000108,D.Akers,2008,PHI,45,45,1.0,0.9915254237288136,False,2008
00-0000108,D.Akers,2009,PHI,43,45,0.9555555555555556,0.9814658803706824,True,2009---
00-0000108,D.Akers,2010,PHI,47,47,1.0,0.9884963023829088,False,2010
00-0000108,D.Akers,2011,SF,34,34,1.0,0.9942004971002486,False,2011
00-0000108,D.Akers,2012,SF,44,44,1.0,0.9935327405012127,False,2012
00-0000108,D.Akers,2013,DET,42,43,0.9767441860465116,0.9960536700868192,True,2013---
,,,,,,,,,
00-0000282,M.Andersen,1999,ATL,34,34,1.0,0.9886685552407932,False,1999
00-0000282,M.Andersen,2000,ATL,23,23,1.0,0.9905033238366572,False,2000
00-0000282,M.Andersen,2001,NYG,29,30,0.9666666666666667,0.9814995131450828,True,2001---
00-0000282,M.Andersen,2002,KC,51,51,1.0,0.9811965811965812,False,2002
00-0000282,M.Andersen,2003,KC,58,59,0.9830508474576272,0.9823008849557522,False,2003
00-0000282,M.Andersen,2004,MIN,45,45,1.0,0.9899244332493703,False,2004
00-0000282,M.Andersen,2006,ATL,27,27,1.0,0.9876977152899824,False,2006
00-0000282,M.Andersen,2007,ATL,24,24,1.0,0.9856175972927242,False,2007
,,,,,,,,,
00-0000313,G.Anderson,1999,MIN,46,46,1.0,0.9886685552407932,False,1999
00-0000313,G.Anderson,2000,MIN,45,45,1.0,0.9905033238366572,False,2000
00-0000313,G.Anderson,2001,MIN,29,30,0.9666666666666667,0.9814995131450828,True,2001---
00-0000313,G.Anderson,2002,MIN,36,37,0.972972972972973,0.9811965811965812,True,2002---
00-0000313,G.Anderson,2003,TEN,42,42,1.0,0.9823008849557522,False,2003
00-0000313,G.Anderson,2004,TEN,37,37,1.0,0.9899244332493703,False,2004
,,,,,,,,,
00-0001343,C.Blanchard,1999,NYG,19,19,1.0,0.9886685552407932,False,1999
00-0001343,C.Blanchard,2000,ARI,18,19,0.9473684210526315,0.9905033238366572,True,2000---
,,,,,,,,,
00-0001460,C.Boniol,1999,CHI,17,18,0.9444444444444444,0.9886685552407932,True,1999---
,,,,,,,,,
